tsne1,tsne2,cluster,cluster_name,track_name,artist,release_year,popularity,danceability,energy,valence,acousticness,loudness
8.580764,11.757096,3,Smooth and Sophisticated,Miles Away,['Madonna'],2008,48,0.782,0.71,0.762,0.045,-4.394
7.96228,8.487957,3,Smooth and Sophisticated,4 Minutes (feat. Justin Timberlake and Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",2008,49,0.705,0.911,0.803,0.006,-4.873
6.9582515,8.917957,3,Smooth and Sophisticated,Give Me All Your Luvin',"['Madonna', 'Nicki Minaj', 'M.I.A.']",2012,53,0.68,0.885,0.877,0.006,-4.345
-9.226847,-8.20313,2,Bold and Uplifting,Take a Bow,['Madonna'],1995,42,0.568,0.366,0.311,0.417,-8.854
0.19747888,0.11800537,1,Acoustic and Mellow,Fever,['Madonna'],1992,38,0.778,0.727,0.549,0.066,-10.296
5.3485,0.9336934,1,Acoustic and Mellow,Love Profusion,['Madonna'],2003,45,0.702,0.467,0.705,0.239,-8.026
2.487523,5.72206,3,Smooth and Sophisticated,Music,['Madonna'],2000,48,0.736,0.802,0.871,0.001,-8.527
1.9999229,2.5247593,3,Smooth and Sophisticated,Buenos Aires,['Madonna'],1996,38,0.772,0.805,0.657,0.116,-8.363
-12.082675,-7.6884747,2,Bold and Uplifting,Oh What a Circus,"['Antonio Banderas', 'Madonna']",1996,38,0.36,0.492,0.302,0.811,-10.325
-9.511893,-10.807014,2,Bold and Uplifting,"High Flying, Adored","['Antonio Banderas', 'Madonna']",1996,36,0.686,0.372,0.307,0.639,-11.961
-10.728172,-5.784486,2,Bold and Uplifting,Goodnight and Thank You,"['Antonio Banderas', 'Madonna']",1996,35,0.388,0.617,0.842,0.691,-9.627
-9.178226,-9.862988,2,Bold and Uplifting,Swim,['Madonna'],1998,43,0.618,0.476,0.2,0.584,-12.823
0.46229795,-7.5245786,0,Energetic and Danceable,Rain,['Madonna'],1992,38,0.592,0.642,0.16,0.088,-9.38
5.86205,-8.130924,0,Energetic and Danceable,Beautiful Stranger,['Madonna'],2009,53,0.52,0.756,0.286,0.122,-3.909
-12.097113,-11.3373995,2,Bold and Uplifting,I'd Be Surprisingly Good for You,"['Madonna', 'Jonathan Pryce']",1996,36,0.568,0.291,0.425,0.871,-13.888
-10.45735,-11.498425,2,Bold and Uplifting,Live to Tell,['Madonna'],1995,37,0.673,0.314,0.27,0.411,-14.156
-0.45897183,-8.390593,0,Energetic and Danceable,The Power of Good-Bye,['Madonna'],2001,35,0.534,0.561,0.219,0.044,-11.089
1.87518,1.7947686,3,Smooth and Sophisticated,Don't Stop,"['Madonna', 'Daniel Abraham']",1994,36,0.733,0.789,0.622,0.002,-7.95
-7.576879,4.218326,1,Acoustic and Mellow,I'll Remember (Theme from the Motion Picture With Honors),['Madonna'],1994,34,0.691,0.598,0.842,0.625,-9.699
1.0302739,-7.9278083,0,Energetic and Danceable,Rain,['Madonna'],1995,40,0.592,0.642,0.16,0.088,-9.38
