id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
6ioBgySxoeQKALvAeLEmId,Express Yourself,58,239093,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.667,0.93,7,-4.585,1,0.0608,0.0108,0.0,0.176,0.893,115.57,4,2009,3,2
4vle25yO4Rf7AYkWtzSfAS,Material Girl - Extended Dance Remix,39,369693,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.735,0.74,0,-12.647,1,0.0519,0.208,0.000138,0.0763,0.964,136.42,4,1984,1,7
6Ei6QAnG87QHLRe0Nqgqy2,Into the Groove,40,506560,0,"['Madonna', 'Shep Pettibone']","['6tbjWDEIzxoDsBA1FuhfPW', '6GOmlO6wisWSbBzBbCCaWv']",1987-11-13,0.799,0.638,1,-12.271,1,0.0564,0.0329,0.0227,0.0323,0.823,116.556,4,1987,1,-1
1mHnxub5pXrAXQUCpyRoAp,"Vogue - 12"" Version",39,501333,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-27,0.684,0.615,1,-15.083,1,0.0489,0.00429,0.114,0.202,0.502,116.213,4,1990,1,-1
3b3PnE1ROIZzILjmCGjVib,Rain,52,328987,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1992-10-20,0.592,0.642,10,-9.38,1,0.026,0.0883,0.00134,0.131,0.16,92.419,4,1992,0,5
7ENlXau6NFNVaWU0hP7lbx,Where Life Begins,39,357840,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1992-10-20,0.687,0.716,2,-10.745,1,0.0351,0.0257,0.282,0.113,0.83,99.983,4,1992,1,7
78JPL7uIfs6Imm57r1QETk,You Must Love Me,40,170840,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1996-10-25,0.357,0.161,10,-14.789,1,0.0436,0.926,3.47e-05,0.146,0.267,88.746,4,1996,2,-1
2II03llydk4YnkBBvoYB3B,Frozen,63,367333,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.602,0.616,1,-10.917,1,0.0353,0.662,0.0153,0.149,0.31,108.017,4,1998,2,1
01VFDkHBNJcCNUjzD3flWg,The Power of Good-Bye,58,250560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.534,0.561,5,-11.089,0,0.0409,0.0442,0.678,0.189,0.219,84.978,4,1998,0,5
4Fpsa3pYc3gozrxHRRPvR6,Ray of Light,60,320693,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.561,0.909,3,-7.878,1,0.0312,0.00118,0.46,0.0713,0.71,127.172,4,1998,0,-1
